epochs,accuracy,auc,loss,pr_auc,precision,recall,val_accuracy,val_auc,val_loss,val_pr_auc,val_precision,val_recall
0,0.9731827974319458,0.9774393439292908,0.3562646806240082,0.9531115889549255,0.9564706087112427,0.9542253613471985,0.9790475964546204,0.9926315546035767,0.27769309282302856,0.8771929740905762,0.8196721076965332,1.0
1,0.9915314316749573,0.993805468082428,0.12243573367595673,0.9865085482597351,0.98591548204422,0.98591548204422,0.9961904883384705,0.9988842010498047,0.045655157417058945,0.9796232581138611,0.9615384340286255,1.0
2,0.9992942810058594,0.9991599917411804,0.019033029675483704,0.998255729675293,0.998826265335083,0.998826265335083,0.9942857027053833,0.9988842010498047,0.02968013472855091,0.9796232581138611,0.9607843160629272,0.9800000190734863
3,0.9985885620117188,0.9991573691368103,0.0062592593021690845,0.998249351978302,0.9976525902748108,0.9976525902748108,0.9923809766769409,0.995705246925354,0.12673549354076385,0.9245423674583435,0.9259259104728699,1.0
4,0.9947071075439453,0.9951950311660767,0.055387094616889954,0.9906781911849976,0.9917743802070618,0.9906103014945984,0.9980952143669128,0.9989473223686218,0.05585295334458351,0.9803921580314636,0.9803921580314636,1.0
5,0.9964714050292969,0.996882975101471,0.04363437741994858,0.994182825088501,0.9941314458847046,0.9941314458847046,0.9942857027053833,0.9889053106307983,0.09178110212087631,0.9652220010757446,0.9607843160629272,0.9800000190734863
6,0.9996471405029297,0.9994131326675415,0.00455061299726367,0.9994325637817383,1.0,0.998826265335083,0.9904761910438538,0.9957894682884216,0.24821367859840393,0.9259259104728699,0.9090909361839294,1.0
7,0.9982357025146484,0.9985707998275757,0.020159225910902023,0.9976847171783447,0.9976498484611511,0.9964788556098938,0.9923809766769409,0.9957894682884216,0.40316450595855713,0.9259259104728699,0.9259259104728699,1.0
8,1.0,1.0,2.9123521372298455e-09,1.0,1.0,1.0,0.9904761910438538,0.9868210554122925,0.28165262937545776,0.9282541275024414,0.9245283007621765,0.9800000190734863
9,0.9996471405029297,1.0,0.0004373114206828177,1.0,1.0,0.998826265335083,0.9942857027053833,0.9878526329994202,0.2666715979576111,0.9463611841201782,0.9607843160629272,0.9800000190734863
10,1.0,1.0,6.209164712345228e-05,1.0,1.0,1.0,0.9942857027053833,0.9878737330436707,0.27541646361351013,0.9463906288146973,0.9607843160629272,0.9800000190734863
11,1.0,1.0,9.24449197747812e-11,1.0,1.0,1.0,0.9942857027053833,0.9878737330436707,0.27537477016448975,0.9463906288146973,0.9607843160629272,0.9800000190734863
12,1.0,1.0,1.9607798549259314e-06,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.27846598625183105,0.9463906288146973,0.942307710647583,0.9800000190734863
13,1.0,1.0,2.915625857066728e-12,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.27846595644950867,0.9463906288146973,0.942307710647583,0.9800000190734863
14,1.0,1.0,4.933889741209896e-09,1.0,1.0,1.0,0.9923809766769409,0.9878737330436707,0.27847710251808167,0.9463906288146973,0.942307710647583,0.9800000190734863
